FL_DATE;CANCELLED;FLIGHTS;DISTANCE
2017-11-18;42;13354;884.7618691
2017-11-19;49;14910;861.4574111
2017-11-20;29;15105;848.4677921
2017-11-21;23;15720;843.9283079
2017-11-22;7;16297;841.7549856
2017-11-23;4;9835;883.3433655
2017-11-24;8;12115;873.7240611
2017-11-25;26;15520;871.3916237
2017-11-26;109;16878;851.1212229
2017-11-27;7;16571;847.93205
2017-11-28;13;15134;831.9242104
2017-11-29;11;15177;829.9136852
2017-11-30;35;15650;839.942492
2017-12-01;30;15708;839.7182327
2017-12-02;19;12103;878.0441213
2017-12-03;10;14780;858.2715832
2017-12-04;155;15429;841.6944066
2017-12-05;54;14863;825.0493171
2017-12-06;17;15200;829.7565789
2017-12-07;58;15628;839.2401459
2017-12-08;1306;14444;858.2684852
2017-12-09;664;11472;888.429219
2017-12-10;72;14708;859.0550721
2017-12-11;47;15525;839.4988084
2017-12-12;49;14871;825.8393518
2017-12-13;117;15113;832.4443856
2017-12-14;93;15627;841.1882639
2017-12-15;77;15911;854.0314877
2017-12-16;38;12506;904.399968
2017-12-17;1111;13869;893.3097556
2017-12-18;465;15526;861.3283524
2017-12-19;83;15582;854.0594275
2017-12-20;33;15934;870.8700891
2017-12-21;46;16051;892.9455486
2017-12-22;52;16179;892.664627
2017-12-23;56;14893;918.3057141
2017-12-24;44;12718;929.5223306
2017-12-25;64;12812;925.5905401
2017-12-26;60;15950;896.4159875
2017-12-27;70;15950;899.268652
2017-12-28;134;15875;899.527937
2017-12-29;120;15917;900.410316
2017-12-30;96;14800;920.7497297
2017-12-31;84;12937;930.6396382
2018-01-01;321;17593;843.5781277
2018-01-02;255;19624;824.7471464
2018-01-03;693;18498;811.2627852
2018-01-04;3874;15367;782.3950674
2018-01-05;1329;17953;808.7862753
2018-01-06;380;15586;842.8503785
2018-01-07;576;18504;823.9032101
2018-01-08;692;18594;793.8504356
2018-01-09;340;17929;776.9370852
2018-01-10;199;18590;779.7145239
2018-01-11;316;19101;785.7335218
2018-01-12;1092;18484;795.9124107
2018-01-13;229;14496;829.3634796
2018-01-14;45;16652;811.2003363
2018-01-15;313;18762;788.6972071
2018-01-16;1525;16766;779.0321484
2018-01-17;2140;16679;804.8341627
2018-01-18;788;18630;790.458132
2018-01-19;103;19431;782.9568216
2018-01-20;46;14815;827.2577793
2018-01-21;460;17602;804.436939
2018-01-22;757;18570;785.6763597
2018-01-23;310;17972;773.9574894
2018-01-24;64;18754;776.382905
2018-01-25;38;19391;780.9833944
2018-01-26;22;19515;781.7227261
2018-01-27;28;14836;825.7926665
2018-01-28;37;18017;800.2359438
2018-01-29;77;19239;782.3124903
2018-01-30;84;18200;771.6536264
2018-01-31;36;18799;775.9421778
2018-02-01;72;19366;781.2337602
2018-02-02;147;19440;782.8843107
2018-02-03;40;14664;828.4569694
2018-02-04;526;15857;825.0025856
2018-02-05;561;18848;787.0322581
2018-02-06;192;18107;772.4855028
2018-02-07;1006;17831;783.7877292
2018-02-08;303;19126;781.0131758
2018-02-09;1470;18090;796.6096739
2018-02-10;246;14651;830.8935226
2018-02-11;920;17174;811.4036334
2018-02-12;148;19235;783.4780868
2018-02-13;60;18261;771.6926236
2018-02-14;64;17832;784.3609803
2018-02-15;456;19398;791.8466337
2018-02-16;70;19989;790.1759468
2018-02-17;153;15568;839.2011177
2018-02-18;129;17516;815.3989495
2018-02-19;255;19654;792.1593569
2018-02-20;774;18717;790.0520917
2018-02-21;418;19257;789.7549982
2018-02-22;255;19728;791.8738848
2018-02-23;120;19916;790.9799659
2018-02-24;180;15863;839.8742987
2018-02-25;110;18831;806.3996601
2018-02-26;71;19896;788.5695115
2018-02-27;122;19373;781.2002271
2018-02-28;108;19567;784.8412634
2018-03-01;422;19577;792.3665015
2018-03-02;3212;17013;790.6239934
2018-03-03;558;15570;834.3430957
2018-03-04;122;18856;805.2654328
2018-03-05;380;19781;792.0344775
2018-03-06;148;19525;779.2098335
